City,Country,Classification Pm25 Conc Txt,Fine particulate matter in μg/m3,Population in the city,Rank,Station Count,Coches/1000 habitantes,full_city,latitude,longitude,Superficie_km2,Densidad_poblacional_hab_km2,altitud_m
Asti,Italy,poor,18.7,75051,348,1,435,"Asti, Italy",44.8260126,8.2026863,151.31,496.0081950961602,171
Caserta,Italy,moderate,10.9,73984,213,2,435,"Caserta, Italy",41.2035192,14.1168624,54.07,1368.300351396338,179
Chelm,Poland,poor,15.2,62670,307,1,474,"Chelm, Poland",51.1339221,23.4711548,35.28,1776.360544217687,189
Gent,Belgium,moderate,11.3,263687,226,3,511,"Gent, Belgium",51.0538286,3.7250121,156.18,1688.353182225637,17
Gijón,Spain,moderate,10.2,271717,187,4,511,"Gijón, Spain",43.5449422,-5.66275,184.31,1474.239053768108,15
Gliwice,Poland,poor,19.8,179806,355,1,474,"Gliwice, Poland",50.3011314,18.6623472,133.88,1343.038541977891,214
Gorzów Wielkopolski,Poland,moderate,13.4,123921,277,2,474,"Gorzów Wielkopolski, Poland",52.7305755,15.2107553,85.72,1445.648623425105,59
Grenoble,France,moderate,11.0,305569,218,3,589,"Grenoble, France",45.1875602,5.7357819,18.13,16854.32984004413,217
Grudziadz,Poland,poor,17.7,95045,340,1,474,"Grudziadz, Poland",53.4725119,18.7618937,57.76,1645.515927977839,27
Lomza,Poland,poor,20.0,63000,356,1,474,"Lomza, Poland",53.1824307,22.0521838,33.0,1909.090909090909,104
Modena,Italy,poor,18.5,189013,347,1,435,"Modena, Italy",44.5384728,10.9359609,183.19,1031.786669578034,88
Olsztyn,Poland,moderate,12.5,172362,260,1,474,"Olsztyn, Poland",53.776644,20.4777531,88.0,1958.659090909091,115
Pavia,Italy,poor,19.0,71882,350,1,435,"Pavia, Italy",45.0368546,9.1378251,63.24,1136.654016445288,76
Pernik,Bulgaria,poor,19.2,72241,351,1,466,"Pernik, Bulgaria",42.628442,22.8823119,72.29,999.3221745746299,916
Ploiesti,Romania,poor,15.8,227445,319,1,665,"Ploiesti, Romania",44.9417468,26.0236504,89.2,2549.831838565022,158
Reggio nell'Emilia,Italy,poor,18.1,171084,344,1,435,"Reggio nell'Emilia, Italy",44.6086674,10.5940667,230.66,741.715078470476,187
Sassuolo,Italy,poor,17.0,40278,332,1,435,"Sassuolo, Italy",44.5409769,10.7829023,38.4,1048.90625,128
Siedlce,Poland,poor,16.3,77872,329,1,474,"Siedlce, Poland",52.1663751,22.2765138,32.0,2433.5,155
Szczecin,Poland,moderate,11.1,402465,219,2,474,"Szczecin, Poland",53.4296809,14.5929127,301.0,1337.093023255814,1
Tarnów,Poland,poor,17.4,109062,338,2,474,"Tarnów, Poland",50.0259883,20.9640584,72.4,1506.381215469613,193
Terni,Italy,poor,15.2,110003,305,3,435,"Terni, Italy",42.6539486,12.4396528,211.9,519.126946672959,396
Udine,Italy,moderate,13.6,100170,279,2,435,"Udine, Italy",46.0634632,13.2358377,57.17,1752.142732202204,122
Veliko Tarnovo,Bulgaria,poor,15.7,68828,315,1,466,"Veliko Tarnovo, Bulgaria",43.0820584,25.6321312,30.0,2294.266666666667,191
Vicenza,Italy,poor,23.0,109855,369,2,435,"Vicenza, Italy",45.6348591,11.4063543,80.57,1363.47275660916,304
Walbrzych,Poland,poor,17.4,112594,337,1,474,"Walbrzych, Poland",50.785221,16.2846403,84.8,1327.759433962264,414
Wloclawek,Poland,poor,16.2,110802,325,2,474,"Wloclawek, Poland",52.6655636,19.0961297,84.32,1314.065464895636,63
Lecco,Italy,poor,15.2,48058,303,1,435,"Lecco, Italy",45.9005485,9.4120248,45.14,1064.643331856447,961
Zilina,Slovakia,poor,16.1,80727,322,1,597,"Zilina, Slovakia",49.2234674,18.7393139,80.03,1008.709234037236,346
