"nuts_code","ciudad","poblacion","total_area"
"ES111","Santiago de Compostela",97848,220005100
"ES512","Breda",183873,5010955
"ES521","Elda",87054,45597500
"ES415","Salamanca",144825,39559600
"ES612","San Fernando",95001,29908900
"ES120","Oviedo",219910,186651726
"ES617","Málaga",578460,395706900
"ES630","Ceuta",84202,19870000
"ES425","Toledo",85811,232139600
"ES422","Ciudad Real",75504,285147500
"ES612","Línea de la Concepción, La",63630,26666500
"ES300","Madrid",5098717,605772354
"ES512","Pau",110402,10442766
"ES300","Torrejón de Ardoz",132853,32623457
"ES616","Jaén",112757,424228100
"ES705","Telde",102791,100330800
"ES514","Tarragona",136496,58838000
"ES213","Bilbao",797590,41342600
"ES120","Gijón",271717,183952700
"ES243","Zaragoza",681877,973997400
"ES614","Granada",404809,88110000
"ES613","Córdoba",326039,1254621700
"ES421","Albacete",174336,1126989600
"ES708","Arrecife",64645,24275400
"ES709","Santa Cruz de Tenerife",368105,150440100
"ES300","Valdemoro",77270,64169515
"ES618","Sevilla",884899,142004800
"ES423","Cuenca",54621,910875700
"ES620","Cartagena",216108,560186400
"ES511","Barcelona",3755512,100764400
"ES300","Alcalá de Henares",197562,87721822
"ES611","Almería",201322,295724400
"ES120","Avilés",77791,26723400
"ES431","Badajoz",150984,1440515700
"ES612","Cádiz",115439,12300063
"ES300","Collado Villalba",64378,26520145
"ES111","Ferrol",65560,82651443
"ES511","Granollers",62419,14952700
"ES615","Huelva",143837,151625300
"ES413","León",124028,39034554
"ES513","Lleida",140403,211787700
"ES230","Logroño",152485,78973900
"ES112","Lugo",98519,329776382
"ES511","Manresa",78245,41627400
"ES511","Mataró",129661,22438900
"ES113","Ourense",105643,84771500
"ES414","Palencia",78144,95209000
"ES114","Pontevedra",83260,118468100
"ES523","Sagunto",67173,133927500
"ES130","Santander",173375,36082900
"ES130","Torrelavega",51597,35532800
"ES521","Torrevieja",84667,71760200
"ES418","Valladolid",299265,197373900
"ES114","Vigo",296692,109055595
"ES511","Vilanova i la Geltrú",67733,33865091
